"","WBANID","COUNTY"
"893","94171","TWIN FALLS"
"894","94158","OWYHEE"
"895","24108","POWER"
"896","24156","POWER"
"897","94136","ELMORE"
"898","24106","ELMORE"
"899","24145","BONNEVILLE"
"900","94143","BUTTE"
"901","24131","ADA"
"902","24102","ADA"
"903","04115","ADA"
"904","94144","BUTTE"
"905","24140","CLARK"
"906","94182","VALLEY"
"907","94174","IDAHO"
"908","24195","IDAHO"
"909","24154","SHOSHONE"
"910","24194","BOUNDARY"
"911","94184","CARIBOU"
"912","94194","MADISON"
"913","94195","CANYON"
"914","93809","ALEXANDER"
"915","03865","WILLIAMSON"
"916","93810","JACKSON"
"917","93921","RANDOLPH"
"918","03825","MARION"
"919","13802","ST. CLAIR"
"920","03823","ST. CLAIR"
"921","03879","MARION"
"922","13809","LAWRENCE"
"923","03958","MADISON"
"924","03838","FAYETTE"
"925","93816","EFFINGHAM"
"926","53802","COLES"
"927","03887","MACON"
"928","93896","SANGAMON"
"929","93822","SANGAMON"
"930","03890","MACON"
"931","93989","ADAMS"
"932","93913","ADAMS"
"933","94870","CHAMPAIGN"
"934","94891","VERMILION"
"935","14806","CHAMPAIGN"
"936","54831","MCLEAN"
"937","14874","PEORIA"
"938","14842","PEORIA"
"939","14818","MCLEAN"
"940","94959","KNOX"
"941","94813","LIVINGSTON"
"942","14816","BUREAU"
"943","94887","LA SALLE"
"944","14923","ROCK ISLAND"
"945","14834","WILL"
"946","14932","SCOTT"
"947","54814","COOK"
"948","94884","DUPAGE"
"949","14892","COOK"
"950","14819","COOK"
"951","94821","DEKALB"
"952","04808","KANE"
"953","14877","WHITESIDE"
"954","94866","COOK"
"955","14881","COOK"
"956","94878","DUPAGE"
"957","94892","DUPAGE"
"958","14855","COOK"
"959","04838","COOK"
"960","94822","WINNEBAGO"
"961","14844","WINNEBAGO"
"962","14880","LAKE"
"963","14810","COOK"
"964","04831","WILL"
"965","93817","VANDERBURGH"
"966","03836","DAVIESS"
"967","13811","JEFFERSON"
"968","13804","JENNINGS"
"969","03893","MONROE"
"970","13803","BARTHOLOMEW"
"971","93881","RUSH"
"972","03868","VIGO"
"973","93823","VIGO"
"974","93892","MARION"
"975","93819","MARION"
"976","03846","WAYNE"
"977","13805","MARION"
"978","93811","WAYNE"
"979","53842","MARION"
"980","04828","MADISON"
"981","94895","DELAWARE"
"982","14835","TIPPECANOE"
