state,county,year,freezing_days
OK,ATOKA,2022,6
OK,LE FLORE,2022,3
IA,APPANOOSE,2022,37
AL,TUSCALOOSA,2022,1
IA,HARDIN,2022,51
GA,CLARKE,2022,1
TN,SULLIVAN,2022,3
KY,PULASKI,2022,8
IN,HOWARD,2022,22
IN,ELKHART,2022,39
IL,SANGAMON,2022,27
IL,MCLEAN,2022,35
IL,ADAMS,2022,30
CO,LINCOLN,2022,19
NY,LIVINGSTON,2022,27
CT,NEW HAVEN,2022,10
MA,BARNSTABLE,2022,2
MA,BERKSHIRE,2022,24
PA,BUTLER,2022,24
NY,SULLIVAN,2022,23
PA,INDIANA,2022,28
NY,ONONDAGA,2022,29
PA,WESTMORELAND,2022,24
OH,LUCAS,2022,30
IA,CERRO GORDO,2022,63
NE,GAGE,2022,23
WY,NATRONA,2022,34
NH,MERRIMACK,2022,24
MI,KALAMAZOO,2022,40
WI,ASHLAND,2022,86
WI,RACINE,2022,41
MI,DELTA,2022,58
WI,WAUPACA,2022,47
WI,SAWYER,2022,89
SD,SHANNON,2022,35
SD,ROBERTS,2022,67
SD,BRULE,2022,45
MN,LYON,2022,67
MN,DAKOTA,2022,65
WY,JOHNSON,2022,38
MT,GALLATIN,2022,57
ID,MADISON,2022,65
OR,BAKER,2022,29
MN,AITKIN,2022,97
MN,CASS,2022,94
MN,WADENA,2022,88
ND,CASS,2022,93
ND,STARK,2022,66
MT,VALLEY,2022,72
IN,GRANT,2022,42
ND,BURKE,2022,99
PA,FAYETTE,2022,21
NJ,MORRIS,2021,7
MO,LIVINGSTON,2021,21
TX,GRAYSON,2021,8
IL,EDGAR,2021,19
MS,HINDS,2021,3
AR,PRAIRIE,2021,9
TX,WICHITA,2021,10
VA,BATH,2021,11
KY,FAYETTE,2021,10
WV,BROOKE,2021,16
OH,MONTGOMERY,2021,11
KS,SEWARD,2021,10
PA,CENTRE,2021,17
NY,ALLEGANY,2021,38
NY,ERIE,2021,25
IL,WILL,2021,19
IA,CLINTON,2021,33
NE,DOUGLAS,2021,21
NE,ADAMS,2021,23
WY,TETON,2021,37
ME,YORK,2021,16
ME,KNOX,2021,17
MI,BERRIEN,2021,13
WI,DANE,2021,40
WI,MANITOWOC,2021,32
WI,WAUPACA,2021,37
SD,MINNEHAHA,2021,32
MN,CROW WING,2021,63
SD,OTTER TAIL,2021,67
MI,HOUGHTON,2021,50
TX,COMANCHE,2021,7
AL,FRANKLIN,2021,4
OH,WAYNE,2021,29
AK,LAKE AND PENINSULA BOROUGH,2022,22
NE,GRANT,2022,33
OK,GARFIELD,2022,9
VT,WASHINGTON,2022,46
AK,YAKUTAT BOROUGH,2022,25
AK,KETCHIKAN GATEWAY BOROUGH,2022,14
MI,OAKLAND,2022,38
AL,MADISON,2022,2
MN,STEARNS,2022,87
IA,DALLAS,2022,36
WA,ISLAND,2022,3
IL,EDGAR,2022,30
OK,POTTAWATOMIE,2022,8
MN,YELLOW MEDICINE,2022,61
PA,DAUPHIN,2022,7
